id,event_timestamp,device_type,session_id,visitor_id,item_id,redirection_source
1,11/15/2020 0:00,android,B65430,B570,C7894,GOOGLE
2,11/15/2020 0:00,android,B4305,E2867,D5447,LinkedIn
3,11/15/2020 0:00,android,H9862,H1850,F2937,Youtube
4,11/15/2020 0:00,android,E38850,H9140,C342,google
5,11/15/2020 0:00,android,G19497,D5051,H2284,FACEBOOK
6,11/15/2020 0:00,android,D25514,D3612,C5346,YOUTUBE
7,11/15/2020 0:00,android,B12443,C6117,B5757,LinkedIn
8,11/15/2020 0:00,android,B089565,I9587,I8013,linkedin
9,11/15/2020 0:00,android,E97567,F8149,B18262,youtube
10,11/15/2020 0:00,android,I31739,D3557,B13644,google
11,11/15/2020 0:00,android,B00737,G8784,J1397,facebook
12,11/15/2020 0:00,android,D25383,D461,H8243,Google
13,11/15/2020 0:00,android,D22314,J1340,D8737,Youtube
14,11/15/2020 0:00,android,C93018,B6365,I541,youtube
15,11/15/2020 0:00,android,B43838,I890,B449,google
16,11/15/2020 0:00,android,I72653,D0758,F7819,youtube
17,11/15/2020 0:00,android,C76009,G207,B12632,Youtube
18,11/15/2020 0:00,android,D43675,H131,H6109,youtube
19,11/15/2020 0:00,android,B12443,C6117,C8034,Youtube
20,11/15/2020 0:00,android,B43838,I890,B449,facebook
21,11/15/2020 0:00,android,F13470,J1195,J2183,google
22,11/15/2020 0:00,android,B055902,F037,I541,FACEBOOK
23,11/15/2020 0:00,android,G04657,F5979,G0603,LinkedIn
24,11/15/2020 0:00,android,B069319,G4951,B27054,Google
25,11/15/2020 0:00,android,E5536,I6657,B27900,Google
26,11/15/2020 0:00,android,I99774,E0225,J3600,youtube
27,11/15/2020 0:00,android,G45093,F2946,E0001,Google
28,11/15/2020 0:00,android,G7559,D813,D3147,google
29,11/15/2020 0:00,android,D17409,D2056,E8516,FACEBOOK
30,11/15/2020 0:00,android,F320,I4992,D5375,facebook
31,11/15/2020 0:00,android,D53650,I2284,I4231,google
32,11/15/2020 0:00,android,H90303,B0202,C8034,youtube
33,11/15/2020 0:00,android,I54029,I80,D8259,facebook
34,11/15/2020 0:00,android,F04889,E1578,B18458,facebook
35,11/15/2020 0:00,android,E38850,H9140,I4704,google
36,11/15/2020 0:00,android,B68560,I5182,I4794,facebook
37,11/15/2020 0:00,android,E19389,H2457,F7819,youtube
38,11/15/2020 0:00,android,D65065,G7149,H3972,google
39,11/15/2020 0:00,android,C45858,C0531,F2760,linkedin
40,11/15/2020 0:00,android,H9862,H1850,B22141,YOUTUBE
41,11/15/2020 0:00,android,I31739,D3557,F5530,google
42,11/15/2020 0:00,android,H78980,C9150,F383,Google
43,11/15/2020 0:00,android,C04107,B1158,E4440,youtube
44,11/15/2020 0:00,android,C0069,D8132,I2387,linkedin
45,11/15/2020 0:00,android,B004608,G7493,F5196,YOUTUBE
46,11/15/2020 0:00,android,I54029,I80,I4704,LinkedIn
47,11/15/2020 0:00,android,E06764,B007,G8968,youtube
48,11/15/2020 0:00,android,B65430,B570,J240,Youtube
49,11/15/2020 0:00,android,C77142,E8895,B08129,YOUTUBE
50,11/15/2020 0:00,android,H02193,F6124,H8780,Youtube
51,11/15/2020 0:00,android,I72653,D0758,B2776,Google
